searchValue,createBy,createByName,createTime,createHourNum,updateBy,updateByName,updateTime,remark,params,isActive,errMessage,earNumForOpr,id,farmCode,materialNum,materialName,materialClassify,specification,unit,supplier,supplier1,stockSum,amount,inspectionPlanCategory,brand,paramsVerify
,10042,10042管理员,2025-01-02 08:37:34,8022,10042,10042管理员,2025-03-01 15:01:52,,{},1,,,16410397,10042,551HO04598,551HO04598,DJ,0.25ml,,,,27.0,700.0,,,
,10042,10042管理员,2024-08-25 17:28:21,11134,10042,10042管理员,2024-12-31 17:47:00,,{},1,,,14340302,10042,551HO04472,551HO04472,DJ,0.25ml,,,,0.0,710.0,,,
,10042,10042管理员,2024-07-07 08:20:17,12319,10042,10042管理员,2025-03-01 15:01:52,,{},1,,,12720256,10042,029HO20730,029HO20730,DJ,,,,,180.0,300.0,,,
,10042,10042管理员,2024-06-20 18:22:12,12717,10042,10042管理员,2024-12-31 17:47:01,,{},1,,,12270248,10042,551HO04599,551HO04599,DJ,0.25ml,,,,0.0,1620.0,,,
,10042,10042管理员,2024-05-29 10:07:36,13253,10042,10042管理员,2024-12-31 17:47:01,,{},1,,,11490287,10042,097HO42424,097HO42424,DJ,0.25ml,,,,0.0,1000.0,,,
,10042,10042管理员,2024-01-19 10:37:28,16396,10042,10042管理员,2025-03-01 15:01:52,,{},1,,,8160274,10042,629HO18852,629HO18852,DJ,0.25ml,,,,290.0,1000.0,,,
,10042,10042管理员,2023-12-11 15:35:18,17328,10042,10042管理员,2024-12-31 17:47:01,,{},1,,,6510027,10042,007HO16281,007HO16281,DJ,0.5ml,,,,0.0,1.0,,,
,10042,10042管理员,2023-12-11 15:33:24,17328,10042,10042管理员,2024-08-31 17:27:33,,{},1,,,6510026,10042,507HO16261,507HO16261,DJ,0.25ml,,,,0.0,1.0,,,
,10042,10042管理员,2023-12-11 15:44:11,17327,10042,10042管理员,2024-08-31 17:27:33,,{},1,,,6480057,10042,507HO15861,507HO15861,DJ,0.25ml,,,,0.0,1001.0,,,
